maydon,xonalar,joylashuv,yoshi,narxi
72,3,shahar_cheti,36,620631.1723132917
128,4,qishloq,52,515838.5221726359
100,3,qishloq,24,568039.7613110484
156,1,markaz,42,1910394.589442242
94,6,markaz,97,1333499.0934725273
34,6,markaz,38,453860.3188513526
190,4,qishloq,9,1041419.5142941246
70,4,markaz,63,881534.7555696184
69,5,markaz,6,871393.6325305916
161,2,qishloq,14,843137.9054585124
181,6,markaz,4,2001904.5539370743
136,2,shahar_cheti,55,1094099.2090664434
190,3,markaz,92,2214807.7612662665
117,1,markaz,36,1682562.9639276946
177,5,shahar_cheti,57,1265845.5919207507
196,2,qishloq,23,870805.2942728383
86,6,markaz,78,1216850.27795474
107,2,markaz,53,1198837.778867246
71,1,shahar_cheti,22,631360.3363177121
115,5,markaz,10,1281607.0063618708
181,4,shahar_cheti,33,1425884.3067926508
67,1,shahar_cheti,38,515157.0986569572
119,5,shahar_cheti,33,941122.2353789202
111,4,markaz,51,1650084.8493511814
33,6,qishloq,20,177897.0051945422
94,5,shahar_cheti,77,645412.2295677761
193,3,shahar_cheti,94,1580125.5477918112
181,6,qishloq,79,951717.829222538
180,2,markaz,24,2096958.197613537
106,6,markaz,21,1234169.724791775
187,4,shahar_cheti,72,1280240.3145238839
143,1,markaz,87,2083318.5772572982
32,3,markaz,26,450715.7551559292
160,6,qishloq,70,928632.2466095414
45,4,qishloq,80,225135.77101715302
131,1,shahar_cheti,47,1019733.2831124464
177,4,markaz,89,2253635.7613628143
121,4,markaz,56,1605777.1139768611
119,1,qishloq,16,626064.4931405397
73,4,markaz,98,856863.7753349758
87,5,markaz,87,891667.6529069053
197,3,qishloq,7,840162.2775378459
191,5,shahar_cheti,94,1318416.1080445745
103,2,shahar_cheti,34,819095.0184852123
54,5,shahar_cheti,50,458024.40660177974
62,5,qishloq,14,340456.45144205145
157,3,markaz,9,2089192.9398865711
74,2,markaz,71,741687.4909718825
48,5,markaz,32,625788.3249841762
74,5,qishloq,98,323007.62212816434
111,2,markaz,9,1250860.3586738717
36,1,markaz,43,425217.0430850485
133,5,markaz,44,1954469.621104581
183,5,shahar_cheti,20,1596132.4589311138
76,3,qishloq,13,415197.5555086368
132,6,markaz,13,1618653.7843924074
97,5,qishloq,26,477379.8565265907
198,3,markaz,34,2766258.4621181614
156,1,markaz,31,2312222.876885183
91,2,shahar_cheti,95,767171.8026925322
187,1,qishloq,63,984349.2427614732
31,1,shahar_cheti,9,215204.81468484475
137,4,markaz,31,1426078.0990920034
156,6,qishloq,47,764091.2036196933
65,3,qishloq,89,265909.4040845876
67,4,qishloq,83,319088.04596690345
80,4,shahar_cheti,94,512466.9792078752
117,6,shahar_cheti,46,897759.468741407
67,5,markaz,79,848518.9562715701
37,4,markaz,77,499073.25992540363
136,2,markaz,35,1917823.8109737826
52,6,qishloq,47,245666.5392535011
178,1,shahar_cheti,23,1256024.754650531
154,1,markaz,19,1622881.6337733117
142,5,markaz,8,2026102.4344652237
148,2,markaz,40,1613554.700780652
65,2,qishloq,9,278236.9013915249
46,3,shahar_cheti,30,374505.4962296996
164,6,shahar_cheti,41,1153549.493732691
76,4,shahar_cheti,90,632909.9771002197
33,4,qishloq,55,176892.35364535617
84,3,markaz,42,1012395.1658377725
92,4,qishloq,4,516475.05284981325
104,3,markaz,98,1266011.392109402
190,1,shahar_cheti,60,1501190.003983668
39,6,markaz,25,539365.1028112491
111,3,qishloq,73,464177.51651302015
52,5,markaz,13,709221.6268206377
32,2,qishloq,25,163466.44022374193
185,1,shahar_cheti,22,1364497.0057957957
127,4,shahar_cheti,42,1032100.3975272051
46,3,shahar_cheti,72,296277.58975807263
122,6,markaz,10,1473776.206182066
97,3,shahar_cheti,15,709288.0922405518
165,5,qishloq,1,924920.7231211968
156,6,shahar_cheti,97,1338296.3880039332
30,6,markaz,76,311569.7941760657
67,2,qishloq,26,300632.78785543126
108,2,qishloq,85,441546.5455936361
183,6,markaz,14,2287013.6079327655
86,4,shahar_cheti,79,586785.9392172926
123,5,shahar_cheti,10,972489.3954038575
75,6,qishloq,64,341386.93402284104
60,1,markaz,14,827552.367866029
152,4,markaz,38,2241673.159151675
131,5,shahar_cheti,70,1010460.9410093337
119,2,qishloq,76,640831.4841161713
198,1,markaz,14,2511785.829407472
190,6,markaz,20,2427693.819059759
38,2,shahar_cheti,19,260694.4520350945
181,4,qishloq,12,764592.7774346384
104,1,markaz,95,1168711.3241927144
112,6,qishloq,22,528618.4447243781
94,6,qishloq,77,497923.4933239294
124,6,markaz,59,1249965.416268996
157,2,qishloq,34,859846.0907915224
101,6,shahar_cheti,50,759826.8499433604
70,6,markaz,58,1001207.7485319967
187,5,qishloq,94,933140.0131204656
109,4,markaz,34,1561139.0050098253
132,2,markaz,56,1839479.4210747334
186,1,markaz,84,2341235.051476547
40,4,qishloq,92,192024.75599305346
199,3,markaz,48,2398957.96626691
30,4,shahar_cheti,81,233710.61721055728
196,4,markaz,48,2364430.9448821796
125,2,markaz,5,1739976.3438490015
167,4,qishloq,82,697615.8461198267
58,6,shahar_cheti,57,428898.0829809691
48,1,markaz,28,533816.8106854308
181,4,qishloq,43,1002936.7062846507
94,5,markaz,98,1160444.2100082263
173,6,shahar_cheti,88,1248102.9546862396
180,4,markaz,48,1915754.4096176391
150,6,qishloq,36,624595.1372743578
191,6,shahar_cheti,42,1364688.4898762247
157,6,markaz,75,1851190.3232501964
51,5,qishloq,65,217373.44393023968
53,3,qishloq,7,245047.5261949112
129,3,qishloq,62,695219.7728655371
70,5,shahar_cheti,62,490777.9088658331
187,6,qishloq,28,921198.3919763074
165,5,markaz,61,1982860.894130835
180,2,shahar_cheti,88,1198926.3434773406
120,6,markaz,57,1422214.7808734933
68,4,qishloq,89,321725.1294684871
34,2,qishloq,6,164287.460530836
196,3,shahar_cheti,32,1389133.9852992943
147,2,markaz,59,1522529.1141807393
108,3,shahar_cheti,69,750023.7516986232
198,4,qishloq,8,830045.8036122788
100,6,markaz,86,1143818.8955079515
107,4,markaz,24,1125584.4099854238
139,5,shahar_cheti,89,1142299.551762994
194,1,markaz,85,2850691.229581581
30,4,qishloq,34,144431.31332651543
53,5,qishloq,52,262554.74920513126
69,2,markaz,73,747438.5919964314
178,5,shahar_cheti,41,1550301.113119191
188,5,shahar_cheti,94,1414997.87675312
142,5,shahar_cheti,77,1237039.567737848
118,1,shahar_cheti,93,998905.5227188125
156,4,shahar_cheti,29,1033571.0680119704
61,2,qishloq,7,264923.96162476786
80,2,markaz,91,1103427.7464348045
54,1,shahar_cheti,70,386631.54157191934
184,1,qishloq,44,919379.0606480377
116,1,shahar_cheti,67,917634.3797376101
55,5,markaz,59,738139.2523795221
128,1,markaz,31,1679404.942424479
64,5,qishloq,2,262087.34693484963
150,2,markaz,39,1910629.9235809215
35,2,markaz,97,400728.3112131942
143,1,shahar_cheti,69,1248872.6051361035
159,6,shahar_cheti,77,1305154.5288305127
162,2,shahar_cheti,43,1238624.3902816945
132,6,qishloq,65,644264.0582371386
88,1,shahar_cheti,69,751333.2161283928
165,2,markaz,95,2430516.0061557037
37,2,markaz,29,423314.80683350575
192,6,markaz,51,2507555.196714959
162,4,qishloq,74,961668.1769118917
154,4,shahar_cheti,17,1153474.2787572371
185,2,qishloq,6,807945.4911824724
197,2,shahar_cheti,15,1316837.5657965923
66,1,qishloq,75,373050.12151583895
167,1,shahar_cheti,76,1242619.1238982955
112,6,qishloq,67,579671.5541980736
55,2,qishloq,4,227919.29525240473
196,4,shahar_cheti,75,1443737.9402639354
86,4,qishloq,97,390157.3234463081
118,6,markaz,28,1518087.084827096
108,4,markaz,58,1219827.4068253124
61,2,markaz,89,767936.9357140035
110,4,qishloq,82,617164.958554331
158,4,shahar_cheti,85,1034231.7940985655
189,4,markaz,57,1983024.2658739456
146,1,markaz,17,1655300.4694588615
132,6,markaz,69,1901354.8303394308
64,3,qishloq,97,259188.99557085725
39,4,markaz,74,399140.9137024632
193,3,markaz,84,2810671.46254941
99,2,qishloq,79,533394.3350012348
82,3,markaz,18,867743.5878660368
47,4,shahar_cheti,57,317533.05377390893
81,6,shahar_cheti,40,616873.2831841446
109,6,shahar_cheti,100,957668.902985947
158,3,qishloq,21,843562.1178567632
39,1,shahar_cheti,56,245721.43286079896
76,1,markaz,7,1037174.1312897733
191,3,qishloq,34,979974.4154420131
52,3,markaz,90,668735.1476125363
62,5,qishloq,59,348261.7229778536
108,2,markaz,64,1080461.8752078966
141,3,markaz,28,2067127.9256161654
190,5,markaz,77,2524426.7713350086
137,5,qishloq,26,580633.9681182164
193,6,markaz,62,2874125.4170836937
51,4,markaz,12,697830.5724929039
165,4,qishloq,12,852552.4372663153
171,4,shahar_cheti,39,1292415.919591351
101,6,markaz,98,1097010.35992339
105,5,shahar_cheti,19,643438.6511444135
162,1,markaz,24,2211552.1090529263
128,2,qishloq,4,678894.2130053206
181,4,markaz,76,1901151.9265259649
185,1,shahar_cheti,20,1429323.4001763088
30,4,qishloq,69,158816.02966442175
135,5,shahar_cheti,1,830446.5793611812
92,6,shahar_cheti,66,557589.5646171797
91,3,shahar_cheti,35,661748.636284702
85,6,qishloq,11,427367.335691554
64,5,qishloq,44,296740.2381719053
76,4,qishloq,92,434521.52065529773
76,6,qishloq,32,381869.95841655694
178,2,shahar_cheti,4,1426888.1745782343
132,2,markaz,11,1743525.6300900837
169,5,shahar_cheti,83,1113896.7810442275
123,1,shahar_cheti,85,848869.5954084354
84,5,markaz,21,1047424.9479199534
51,2,qishloq,39,204121.913377036
160,5,qishloq,96,710505.1413057409
163,5,shahar_cheti,59,1241711.862579241
159,1,qishloq,34,712319.6642227274
165,6,markaz,66,1653304.55352967
32,6,markaz,30,448867.751591244
55,2,qishloq,27,287982.1077630224
188,6,shahar_cheti,23,1493363.5404403505
108,3,shahar_cheti,62,921565.9464365675
120,6,markaz,16,1755275.0013437262
37,6,markaz,79,460210.54705634713
199,6,markaz,39,2486295.708207133
38,6,qishloq,16,187169.36344630853
190,6,qishloq,82,1054215.8418588478
117,3,markaz,75,1639480.1486420243
139,6,shahar_cheti,35,1154200.1594193145
196,5,shahar_cheti,16,1260105.5595727325
168,3,qishloq,90,913819.1355210539
133,1,markaz,21,1868813.194585412
127,4,qishloq,87,626246.9157243632
180,1,markaz,94,2073503.1918746934
103,4,markaz,31,1381654.6832382972
93,2,shahar_cheti,4,719315.6717188042
173,3,shahar_cheti,77,1525106.9160869105
116,4,shahar_cheti,19,989464.8129650423
159,3,markaz,83,2176761.2894014474
149,6,qishloq,61,722005.8720719052
87,5,qishloq,26,517583.1735244463
68,3,shahar_cheti,42,490491.0580387037
152,1,shahar_cheti,97,1111265.1319283226
46,2,markaz,55,656919.1298348119
50,3,shahar_cheti,70,373325.7912938005
58,2,qishloq,35,317153.98914344696
96,1,markaz,80,1186101.0482955805
37,3,qishloq,51,216930.32217404852
48,4,shahar_cheti,4,377165.64548202907
47,5,shahar_cheti,47,300889.66353173635
134,2,markaz,3,1959209.744296103
60,6,qishloq,69,249659.07510020753
103,3,markaz,72,1346482.0416512745
52,5,qishloq,32,239311.10976408675
199,1,markaz,68,2739358.223545442
47,1,markaz,29,471196.4628476631
128,6,shahar_cheti,89,911577.2211709798
158,6,markaz,12,1763955.5026799156
57,4,qishloq,21,311006.3260245106
118,5,markaz,76,1433693.5663092544
175,6,qishloq,77,964100.0631202866
141,1,qishloq,57,706361.3476706942
140,3,qishloq,85,803629.8136473275
56,5,shahar_cheti,43,466307.44804476696
162,2,markaz,95,2287154.1153752026
56,6,qishloq,95,315706.51436253346
116,2,qishloq,41,507391.0031554033
180,3,markaz,88,1910221.625953718
85,1,markaz,24,914020.2422877126
175,6,shahar_cheti,23,1134140.6976607216
39,6,markaz,84,510707.6216562308
50,6,shahar_cheti,80,315550.9181999485
67,5,qishloq,79,343501.6067809201
37,3,shahar_cheti,32,233951.86100625282
69,2,markaz,70,1034057.7496238867
184,3,shahar_cheti,7,1544615.3153204394
41,2,qishloq,83,205513.11971922283
128,4,qishloq,20,589822.178004596
97,5,shahar_cheti,97,607359.8492060486
176,5,markaz,83,2270154.370436392
96,5,shahar_cheti,75,810803.5513220218
156,2,shahar_cheti,26,1021217.1548199115
117,1,qishloq,45,505064.7507494072
114,5,qishloq,90,524470.6950487813
110,6,shahar_cheti,85,922472.2350914682
107,2,qishloq,19,449038.2853968944
179,1,qishloq,34,1016353.2138359962
148,5,shahar_cheti,6,1036507.8870751089
88,4,qishloq,32,384242.5331430479
80,4,shahar_cheti,49,602006.6399749645
47,3,shahar_cheti,38,360274.9666150069
108,3,shahar_cheti,93,961572.9442744534
162,4,shahar_cheti,79,1127285.9706243034
154,6,markaz,70,2044959.0107316133
81,5,shahar_cheti,60,654307.7078742087
188,3,markaz,95,2513068.185473113
75,3,markaz,58,898740.9629142018
109,5,markaz,31,1426652.9110543511
181,2,qishloq,62,993599.6038830553
39,4,shahar_cheti,12,315698.0042865042
89,5,qishloq,68,397749.13637501013
36,5,shahar_cheti,69,230746.72280752342
54,5,shahar_cheti,34,462639.1810789173
58,5,shahar_cheti,93,389813.7904736092
143,5,qishloq,72,821974.3227619648
73,5,shahar_cheti,90,580140.4377317879
53,2,qishloq,11,287395.4086414931
81,3,markaz,41,876668.5481647088
113,5,qishloq,85,522440.7669631174
51,2,shahar_cheti,14,346942.9154262452
95,3,qishloq,88,540563.8377415226
142,2,qishloq,98,641629.8756726687
195,2,qishloq,16,1148277.2821414827
161,4,markaz,40,2012433.3496438514
41,5,qishloq,8,237509.30083735049
148,4,qishloq,24,856588.3504261835
88,1,qishloq,19,459726.95537150453
102,2,markaz,60,1494624.0581685188
116,4,markaz,100,1464738.5351569266
44,1,shahar_cheti,36,385797.75923496066
49,4,markaz,18,576756.9888954773
147,1,markaz,43,1766972.720676849
142,5,shahar_cheti,89,1262875.6307477225
193,1,qishloq,85,1073173.0604072188
164,5,markaz,6,2256009.5168738854
53,4,shahar_cheti,72,358058.8795528345
154,5,qishloq,68,684146.8902167898
137,4,markaz,64,1785087.9863670224
155,3,shahar_cheti,38,1279821.1756492483
46,2,markaz,7,684496.8745927226
107,3,markaz,56,1378911.4279062513
65,1,markaz,69,818992.0190826262
114,6,qishloq,72,509046.1322636456
171,5,markaz,95,2298169.147653153
56,1,qishloq,85,334451.84443328256
173,1,qishloq,55,1003217.5119778053
99,6,shahar_cheti,67,716415.824351535
172,3,markaz,94,2275080.3894651737
151,3,shahar_cheti,6,1124437.4978760828
54,3,qishloq,22,232266.47399949102
192,4,qishloq,56,842368.5117856304
92,1,markaz,35,1128226.515521061
192,4,qishloq,51,1064528.791176154
123,3,qishloq,25,709030.1327856637
152,5,shahar_cheti,36,1060638.7941806668
68,6,shahar_cheti,66,459006.1804889356
189,5,qishloq,42,917263.5317220656
58,2,markaz,99,681676.9993032812
144,1,qishloq,62,792402.893986661
84,1,qishloq,18,461881.68194635195
99,4,shahar_cheti,16,690829.0413142088
114,1,qishloq,9,683072.9354577402
181,2,markaz,29,1981480.3998887583
108,6,shahar_cheti,20,877943.5831299846
79,3,markaz,11,1037501.7818316284
72,2,markaz,29,887588.4630737805
103,6,qishloq,50,519072.94003118586
147,1,markaz,10,2196469.8978042
98,4,markaz,97,1066919.1948438971
92,5,markaz,26,1147749.5369752366
139,1,qishloq,51,765536.2521296456
60,2,markaz,36,850309.5265036334
123,3,shahar_cheti,74,927074.0946116511
87,4,markaz,34,1026513.9780283929
161,6,qishloq,79,675586.2046407333
38,5,shahar_cheti,43,281001.49583910283
170,1,shahar_cheti,35,1248404.854922638
56,1,markaz,10,640521.1198854278
144,1,shahar_cheti,30,1037623.0528294321
176,3,shahar_cheti,79,1409454.31825759
103,6,shahar_cheti,1,810815.4739660384
120,1,shahar_cheti,3,1041149.079883278
167,3,qishloq,5,844595.278256081
37,6,qishloq,24,148120.97630286816
159,1,markaz,38,1837490.6587274307
31,3,shahar_cheti,57,210243.16550936492
117,4,qishloq,41,569401.4887469399
65,2,markaz,49,696363.5318275206
76,1,shahar_cheti,51,670185.0895089982
51,2,markaz,9,561264.7099340215
141,4,markaz,83,1848859.3573512642
100,5,markaz,84,1034173.1089956616
57,5,shahar_cheti,69,459274.5303402528
170,6,shahar_cheti,44,1407032.4386270165
92,5,qishloq,59,397463.46413803066
171,3,qishloq,33,778533.4603544342
193,4,markaz,23,2589439.741900287
92,2,markaz,30,1019850.0367928564
161,6,shahar_cheti,23,990087.2644416498
152,6,shahar_cheti,86,1065157.7463745496
115,1,qishloq,27,549877.9395314431
66,6,qishloq,5,314256.84592783364
129,5,qishloq,62,556428.0550892857
98,6,markaz,40,1077421.6135791088
31,3,shahar_cheti,2,243878.4278847649
122,5,shahar_cheti,4,840226.633136218
177,5,markaz,89,1842284.9660366322
189,1,qishloq,88,979729.5769640524
135,6,markaz,2,1384252.7341672243
175,2,markaz,20,2313196.0496892757
40,4,markaz,7,405120.09373573726
144,2,qishloq,62,698490.0309346227
159,1,shahar_cheti,81,1003010.9382809204
118,6,shahar_cheti,52,916824.0539809214
49,5,shahar_cheti,94,403218.01111849037
92,3,qishloq,45,517883.72458847385
136,4,qishloq,26,616875.4893844783
148,5,markaz,96,2129702.7067339746
111,1,shahar_cheti,37,765635.860526498
130,6,shahar_cheti,9,993959.2155275792
52,3,markaz,34,610209.3646930234
156,6,markaz,59,1873931.6073611043
133,1,markaz,53,1685516.6481979443
47,2,qishloq,86,229041.00877938347
197,2,qishloq,29,947114.6195757265
145,5,qishloq,73,750036.7133277936
153,6,markaz,61,2199338.528152811
58,4,shahar_cheti,57,357456.6047231682
83,1,markaz,68,974443.7760898063
147,3,qishloq,11,780529.4117567438
163,4,markaz,16,1655384.2884360717
149,6,markaz,36,1666752.1260385066
57,2,shahar_cheti,59,344024.61981174286
50,2,qishloq,47,269138.45954554033
114,3,qishloq,71,572245.1163781001
138,2,qishloq,23,713667.4074455453
31,5,markaz,7,398806.2364621282
114,3,shahar_cheti,27,1009903.7366739913
41,2,shahar_cheti,72,254651.79360761712
127,1,shahar_cheti,61,907755.5940248675
82,6,markaz,94,1064957.1638470478
109,6,qishloq,46,590115.9254548856
104,4,qishloq,44,560310.0698861735
198,3,markaz,38,2061551.083065162
136,6,markaz,72,1774470.594965767
137,4,qishloq,51,652694.6096749383
173,1,qishloq,55,982880.6854439179
86,5,markaz,95,976876.816193559
65,4,markaz,48,886454.7112374324
187,5,shahar_cheti,46,1310901.7653642998
192,1,markaz,73,2695541.47875891
152,1,shahar_cheti,74,1084830.5259635153
160,1,qishloq,24,699049.4247885701
177,6,qishloq,71,848332.1922122502
50,6,qishloq,82,295133.886890496
47,4,markaz,83,625212.9060068995
189,5,qishloq,21,933122.4036158705
94,3,shahar_cheti,65,727984.5197180598
32,4,qishloq,91,164236.58885940458
88,6,markaz,11,1265869.685216792
157,5,shahar_cheti,91,1286588.9638044517
160,5,qishloq,73,703058.1985315704
178,5,shahar_cheti,84,1303307.5303920435
55,4,markaz,75,781896.7802177162
34,2,qishloq,26,138996.97074365107
100,4,shahar_cheti,32,797547.7824084214
143,4,markaz,59,1775303.8920202665
106,6,markaz,83,1550027.9314414228
42,6,qishloq,89,183762.31534522722
197,1,qishloq,59,913881.0945042225
66,1,qishloq,35,300029.8770815005
137,2,markaz,79,1870744.987326654
168,3,markaz,58,2452465.9773733355
165,5,shahar_cheti,18,1206308.6818589368
100,4,qishloq,34,566102.4589772556
86,4,qishloq,29,493803.3143438682
176,6,shahar_cheti,72,1241849.2287506212
120,6,markaz,59,1596615.6355014972
171,1,markaz,36,1914776.0747132767
186,1,qishloq,13,1010417.1666015318
129,6,shahar_cheti,36,1054481.254027946
69,3,shahar_cheti,26,555632.3573419015
70,6,qishloq,89,349147.28230340977
70,2,shahar_cheti,37,545840.348907022
111,5,qishloq,47,485772.37405200023
109,4,markaz,82,1357153.2898040977
193,6,shahar_cheti,30,1368189.1383981516
130,3,markaz,62,1551503.1620125915
163,5,markaz,20,2429395.1784360753
137,2,shahar_cheti,64,936697.4291936498
42,5,shahar_cheti,75,335758.39690126566
187,1,shahar_cheti,14,1582998.0057001342
37,4,shahar_cheti,17,302225.315905172
72,2,shahar_cheti,99,447102.5197463475
88,6,qishloq,31,411193.5364593961
168,4,markaz,46,2207077.091585641
158,4,qishloq,57,841210.7506305468
178,5,markaz,74,2358898.1358909453
112,6,shahar_cheti,17,873819.0053766713
150,2,shahar_cheti,53,1102795.2730927512
66,3,shahar_cheti,67,538041.7803104264
73,6,qishloq,31,358838.68648169574
49,3,qishloq,83,200053.59242086724
134,5,shahar_cheti,89,993067.5333395005
84,1,shahar_cheti,18,639870.2533716651
151,3,qishloq,48,713591.5645839552
171,2,qishloq,1,969567.7063924425
90,3,shahar_cheti,18,642868.5847893013
165,5,shahar_cheti,23,1044446.2695507257
97,6,shahar_cheti,5,810615.6712131759
56,1,qishloq,19,262648.1722670357
182,6,markaz,90,2427670.3950282563
59,3,markaz,97,832881.0329063557
48,3,markaz,96,533412.9537900642
34,5,markaz,66,370943.0632192021
177,4,qishloq,90,787433.435393337
122,2,shahar_cheti,82,748612.5867667432
130,4,markaz,5,1492582.177640488
149,6,markaz,36,2101461.697654054
48,1,qishloq,61,213405.46277269465
184,4,qishloq,83,936489.0875688987
107,4,markaz,14,1194664.7688829508
76,2,shahar_cheti,57,501990.89479138027
200,1,markaz,19,2590574.7258202513
145,6,markaz,61,1949384.7943111223
57,2,markaz,53,593568.4550341129
36,5,qishloq,59,202594.85679606113
158,5,shahar_cheti,98,1086034.778408354
111,1,shahar_cheti,49,963327.1373303076
56,1,shahar_cheti,43,469976.4060127327
117,3,markaz,97,1640622.8891115922
153,1,markaz,76,1686611.2012687596
182,1,shahar_cheti,15,1244788.4997139636
92,1,markaz,39,1135561.2131547264
117,4,shahar_cheti,91,847385.283687172
45,4,qishloq,62,198177.06553725968
109,1,qishloq,63,610114.2592718382
124,2,shahar_cheti,52,1045498.1225642547
198,4,shahar_cheti,27,1286420.0111743393
101,5,markaz,73,1507359.8785551614
194,1,qishloq,53,829096.192892679
37,3,qishloq,79,215140.77337708668
111,1,markaz,46,1243765.3013323063
170,3,shahar_cheti,59,1261469.281585901
102,4,markaz,17,1325539.5368406621
121,5,markaz,29,1801396.0083241712
30,4,qishloq,25,179249.0519766762
152,3,markaz,57,1827276.059710026
108,2,markaz,39,1543208.229138774
144,4,qishloq,74,627283.6952668108
45,1,shahar_cheti,37,360701.64577472076
152,5,markaz,6,2191090.539300738
82,6,markaz,39,898007.462600494
34,3,markaz,89,395955.5302958777
165,4,shahar_cheti,74,1152963.3475855684
165,1,markaz,96,2024481.8562695119
124,3,shahar_cheti,35,1010272.6384914241
51,6,qishloq,74,261989.04976232036
146,1,shahar_cheti,41,1043254.3171837851
41,6,markaz,99,519121.8509246656
76,3,shahar_cheti,90,599042.6714757934
103,3,shahar_cheti,19,714729.829554443
116,6,markaz,4,1651069.2317305843
149,4,markaz,58,2122561.521832794
149,4,markaz,39,1717992.9306794899
91,5,qishloq,22,469741.99574364285
45,2,markaz,14,529494.935573836
142,2,shahar_cheti,93,1172330.45576224
152,2,qishloq,61,905636.2469157536
187,4,shahar_cheti,13,1659700.3513047835
33,4,shahar_cheti,65,204679.78412969905
199,3,shahar_cheti,37,1690003.6793308163
197,4,qishloq,58,859219.9503084798
194,4,markaz,19,2335785.19882559
171,5,qishloq,44,942377.7291186756
169,1,qishloq,13,872925.8430061019
137,5,shahar_cheti,20,925140.4000458017
192,3,markaz,8,2227464.893024865
185,2,shahar_cheti,15,1475994.7687575212
140,2,markaz,58,1651564.5645794286
132,2,shahar_cheti,28,1078397.8314786933
33,6,markaz,82,459331.63648838474
126,4,markaz,32,1515884.2015359828
99,5,markaz,36,1115593.8190681878
121,6,qishloq,65,523649.60830951546
192,5,markaz,75,2304279.358286812
178,2,markaz,58,2573330.3746082755
77,5,shahar_cheti,59,669459.7741777713
188,3,qishloq,9,1073725.1640065664
102,2,qishloq,91,578741.9888107778
129,6,shahar_cheti,68,778455.7148763925
72,6,shahar_cheti,33,606886.9782974228
94,2,markaz,10,1342688.8788191571
130,2,markaz,5,1384801.2658693944
108,6,shahar_cheti,37,741302.6208671504
122,1,shahar_cheti,42,887889.426895108
57,4,markaz,6,741285.0345590344
31,4,shahar_cheti,81,223260.4698231848
127,6,shahar_cheti,49,879166.8598419308
35,5,qishloq,61,173358.10748323693
51,6,qishloq,70,255444.45983267107
86,5,shahar_cheti,88,682286.5899613968
183,1,shahar_cheti,90,1230279.6512995528
49,1,markaz,91,507493.4238449132
80,2,markaz,13,1128243.0930451588
86,6,shahar_cheti,36,730474.9796289201
59,3,qishloq,65,340843.2616434803
48,5,shahar_cheti,31,336578.7351798301
126,6,markaz,91,1427895.5737587844
174,1,qishloq,48,912449.4956444063
51,6,shahar_cheti,58,371862.8259573643
93,4,shahar_cheti,69,636686.0431173604
140,6,qishloq,7,585787.6791677395
60,1,shahar_cheti,99,538662.6034739583
46,3,markaz,20,617898.5607181041
31,4,shahar_cheti,6,228900.71058463384
189,2,shahar_cheti,33,1508418.6396740715
65,5,shahar_cheti,100,475900.0252347781
71,2,qishloq,38,345325.65327401465
198,3,markaz,57,2305253.730900749
102,5,markaz,58,1490590.9807797952
187,5,qishloq,42,887011.275058978
111,5,shahar_cheti,45,859183.6654209474
108,2,qishloq,5,636762.135108677
182,5,markaz,52,2383322.4826269876
154,6,markaz,5,2064692.949596957
78,5,markaz,43,1168090.2187528554
113,6,qishloq,37,473319.21982440224
